epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.61331,0.7764,2.41395,1.14958,0.00333,1,0.97214,0.95845,0.16077,2.55925,0.68508,0.0001,0.0001,0.0001
2,10.2939,0.4526,2.00905,1.0131,0.00333,1,0.995,0.995,0.14906,2.51764,0.65677,0.00020548,0.00020548,0.00020548
3,14.706,0.39556,1.58684,1.02176,0.00333,1,0.995,0.93987,0.28944,2.40395,0.6928,0.00029512,0.00029512,0.00029512
4,19.1857,0.3809,1.33121,0.9615,1,0.66911,0.995,0.97902,0.23456,2.146,0.70163,0.00036892,0.00036892,0.00036892
5,23.8432,0.30341,1.13603,0.92482,1,0.63221,0.995,0.94707,0.23946,2.12532,0.719,0.00042688,0.00042688,0.00042688
6,28.4587,0.3118,0.97756,0.86147,1,0.88044,0.995,0.86617,0.41868,1.97341,0.77902,0.000469,0.000469,0.000469
7,32.9115,0.30754,0.94484,0.8758,1,0.83607,0.995,0.82202,0.56682,1.73287,0.84357,0.00049528,0.00049528,0.00049528
8,37.4233,0.30009,0.84512,0.7858,1,0.83607,0.995,0.82202,0.56682,1.73287,0.84357,0.00050572,0.00050572,0.00050572
9,42.039,0.26442,0.88636,0.80931,0.9735,1,0.995,0.90484,0.39783,1.54535,0.71719,0.00050032,0.00050032,0.00050032
10,46.6652,0.32203,0.8391,0.86037,0.99128,1,0.995,0.90102,0.38361,1.15112,0.71106,0.00047908,0.00047908,0.00047908
11,50.9058,0.29133,0.77824,0.81536,0.99128,1,0.995,0.90102,0.38361,1.15112,0.71106,0.000442,0.000442,0.000442
12,55.2604,0.36638,0.7776,0.85194,0.99229,1,0.995,0.96204,0.27033,0.83811,0.65872,0.00038908,0.00038908,0.00038908
13,59.7573,0.27904,0.73684,0.83484,0.99229,1,0.995,0.96204,0.27033,0.83811,0.65872,0.00032032,0.00032032,0.00032032
14,63.953,0.26862,0.70136,0.8073,0.99229,1,0.995,0.96204,0.27033,0.83811,0.65872,0.00023572,0.00023572,0.00023572
15,68.3815,0.24484,0.68292,0.82368,0.99244,1,0.995,0.995,0.17899,0.66547,0.63478,0.00013528,0.00013528,0.00013528
