epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.48238,0.80917,2.49428,1.14752,0.00333,1,0.995,0.97902,0.16079,2.55553,0.66331,0.0001,0.0001,0.0001
2,12.6126,0.37419,1.98547,0.97882,0.00333,1,0.995,0.995,0.1504,2.50874,0.63852,0.00019822,0.00019822,0.00019822
3,17.2224,0.33289,1.35452,0.87551,0.00333,1,0.995,0.995,0.18995,2.34157,0.64254,0.00027268,0.00027268,0.00027268
4,21.8228,0.31635,0.90951,0.74235,0.97214,1,0.995,0.995,0.2167,1.7204,0.67467,0.00032338,0.00032338,0.00032338
5,25.9783,0.4661,0.93385,0.97156,0.98227,1,0.995,0.995,0.23208,1.33536,0.67523,0.00035032,0.00035032,0.00035032
6,30.0507,0.36542,0.75444,0.83432,0.99042,1,0.995,0.995,0.20769,1.12674,0.68752,0.0003535,0.0003535,0.0003535
7,34.3279,0.34949,0.74216,0.82306,0.99242,1,0.995,0.96786,0.21462,0.98463,0.70004,0.00033292,0.00033292,0.00033292
8,38.5075,0.27839,0.74004,0.86298,0.99242,1,0.995,0.96786,0.21462,0.98463,0.70004,0.00028858,0.00028858,0.00028858
9,42.9664,0.29785,0.68977,0.8062,0.99241,1,0.995,0.96511,0.20682,0.90024,0.68199,0.00022048,0.00022048,0.00022048
10,47.3666,0.2809,0.68977,0.83009,0.99199,1,0.995,0.995,0.18545,0.82904,0.65409,0.00012862,0.00012862,0.00012862
