epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99578,0.79914,2.3503,1.1657,0.00335,1,0.995,0.97902,0.13218,2.54237,0.7108,0.00022,0.00022,0.00022
2,9.48407,0.51549,1.80426,1.05468,0.00334,1,0.995,0.93267,0.21717,2.49138,0.75729,0.00044482,0.00044482,0.00044482
3,13.8575,0.41665,1.3394,1.00523,0.00336,1,0.94786,0.87672,0.30516,2.35749,0.75576,0.0006538,0.0006538,0.0006538
4,18.532,0.54168,1.33132,1.02479,0.83875,0.87122,0.97214,0.83883,0.37968,1.69109,0.79663,0.00084694,0.00084694,0.00084694
5,23.0516,0.54852,1.15794,1.02652,0.98186,0.66667,0.91333,0.62284,0.92497,1.82988,1.47062,0.00102424,0.00102424,0.00102424
6,27.6612,0.57342,1.19654,1.00999,0.98186,0.66667,0.91333,0.62284,0.92497,1.82988,1.47062,0.0011857,0.0011857,0.0011857
7,32.419,0.54532,1.27454,0.9742,0.77388,0.83333,0.91333,0.7007,0.76874,1.60311,1.20007,0.00133132,0.00133132,0.00133132
8,36.744,0.52569,0.92359,0.94492,0.77388,0.83333,0.91333,0.7007,0.76874,1.60311,1.20007,0.0014611,0.0014611,0.0014611
9,41.5666,0.52252,1.33311,0.98828,0.77388,0.83333,0.91333,0.7007,0.76874,1.60311,1.20007,0.001472,0.001472,0.001472
10,46.0112,0.51279,0.89235,0.95392,0.98869,1,0.995,0.7761,0.44337,1.64916,0.836,0.001406,0.001406,0.001406
11,50.4943,0.53039,1.02712,0.97199,0.98869,1,0.995,0.7761,0.44337,1.64916,0.836,0.00134,0.00134,0.00134
12,54.8423,0.46757,0.99157,0.99676,0.99,1,0.995,0.96204,0.30646,0.89522,0.71104,0.001274,0.001274,0.001274
13,59.2725,0.47119,0.90066,0.92676,0.99,1,0.995,0.96204,0.30646,0.89522,0.71104,0.001208,0.001208,0.001208
14,63.5498,0.46721,0.95314,0.96931,0.99,1,0.995,0.96204,0.30646,0.89522,0.71104,0.001142,0.001142,0.001142
15,67.9496,0.3847,0.95158,0.93213,0.98537,1,0.995,0.995,0.2443,1.19589,0.71692,0.001076,0.001076,0.001076
16,72.331,0.42385,0.84488,0.99448,0.98537,1,0.995,0.995,0.2443,1.19589,0.71692,0.00101,0.00101,0.00101
17,76.8635,0.46547,0.84759,0.97522,0.98537,1,0.995,0.995,0.2443,1.19589,0.71692,0.000944,0.000944,0.000944
18,81.2172,0.42028,0.82821,0.94323,0.99148,1,0.995,0.96204,0.30274,1.13438,0.73558,0.000878,0.000878,0.000878
19,85.6124,0.3604,0.76751,0.92482,0.99148,1,0.995,0.96204,0.30274,1.13438,0.73558,0.000812,0.000812,0.000812
20,89.9702,0.4301,0.85563,0.96886,0.99109,1,0.995,0.93987,0.35751,0.95718,0.77084,0.000746,0.000746,0.000746
21,94.4132,0.3873,0.8689,0.89764,0.99109,1,0.995,0.93987,0.35751,0.95718,0.77084,0.00068,0.00068,0.00068
22,98.9707,0.37786,0.84445,0.9456,0.99109,1,0.995,0.93987,0.35751,0.95718,0.77084,0.000614,0.000614,0.000614
23,103.481,0.3001,0.83664,0.81556,0.9918,1,0.995,0.995,0.22966,0.92288,0.7166,0.000548,0.000548,0.000548
24,108.1,0.31662,0.79061,0.82177,0.9918,1,0.995,0.995,0.22966,0.92288,0.7166,0.000482,0.000482,0.000482
25,112.513,0.30359,0.84461,0.88704,0.9918,1,0.995,0.995,0.22966,0.92288,0.7166,0.000416,0.000416,0.000416
26,117.037,0.31784,0.74724,0.83373,0.99156,1,0.995,0.995,0.19383,0.89716,0.70451,0.00035,0.00035,0.00035
27,121.553,0.27495,0.78142,0.80581,0.99156,1,0.995,0.995,0.19383,0.89716,0.70451,0.000284,0.000284,0.000284
28,126.207,0.28727,0.79962,0.84939,0.99182,1,0.995,0.995,0.1696,0.82622,0.69681,0.000218,0.000218,0.000218
29,130.917,0.27806,0.74,0.88793,0.99182,1,0.995,0.995,0.1696,0.82622,0.69681,0.000152,0.000152,0.000152
30,135.53,0.23743,0.73673,0.84999,0.99182,1,0.995,0.995,0.1696,0.82622,0.69681,8.6e-05,8.6e-05,8.6e-05
