epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3874,0.69266,2.83935,1.02132,0.00348,1,0.73482,0.68898,0.23613,2.91432,0.69863,0.00018337,0.00018337,0.00018337
2,25.0748,0.45028,2.01239,0.92062,0.00378,1,0.72625,0.70964,0.26796,2.68789,0.70975,0.000364431,0.000364431,0.000364431
3,36.1424,0.43021,1.61478,0.93968,0.51224,0.83333,0.74625,0.70751,0.28786,2.0003,0.7211,0.000525688,0.000525688,0.000525688
4,47.2824,0.46995,1.35328,0.96089,0.49963,0.73744,0.74625,0.71965,0.27486,1.79617,0.7201,0.000667142,0.000667142,0.000667142
5,58.2909,0.46621,1.18717,0.91126,0.87666,0.94418,0.98357,0.89723,0.35517,1.90523,0.74025,0.000788791,0.000788791,0.000788791
6,69.2215,0.46045,1.10943,0.90112,0.95467,0.98694,0.995,0.94552,0.37428,1.23177,0.75266,0.000890636,0.000890636,0.000890636
7,79.1808,0.48167,0.9851,0.87877,0.95467,0.98694,0.995,0.94552,0.37428,1.23177,0.75266,0.000972678,0.000972678,0.000972678
8,89.8034,0.45566,1.03622,0.92243,0.88144,0.95195,0.995,0.95402,0.3269,1.25605,0.72859,0.00103492,0.00103492,0.00103492
9,100.859,0.49421,1.00577,0.95655,0.76783,1,0.995,0.98559,0.28773,1.54515,0.71815,0.00100687,0.00100687,0.00100687
10,111.573,0.45562,0.99561,0.95372,0.98851,1,0.995,0.95692,0.33267,0.94364,0.73874,0.000924352,0.000924352,0.000924352
11,122.284,0.35461,1.07592,0.79343,0.98851,1,0.995,0.95692,0.33267,0.94364,0.73874,0.000841835,0.000841835,0.000841835
12,133.195,0.33462,1.0202,0.79096,0.9753,1,0.995,0.95764,0.28932,0.91925,0.71618,0.000759318,0.000759318,0.000759318
13,144.054,0.36215,0.95178,0.84,0.98424,1,0.995,0.995,0.20565,0.90657,0.68676,0.000676802,0.000676802,0.000676802
14,154.369,0.31591,0.89168,0.83103,0.97705,1,0.995,0.9856,0.21759,0.83097,0.67593,0.000594286,0.000594286,0.000594286
15,164.692,0.30063,0.93852,0.80751,0.97705,1,0.995,0.9856,0.21759,0.83097,0.67593,0.000511769,0.000511769,0.000511769
16,175.089,0.31443,0.87656,0.83405,0.98732,1,0.995,0.95661,0.23576,0.80495,0.67646,0.000429253,0.000429253,0.000429253
17,185.23,0.27167,0.79533,0.78756,0.99173,1,0.995,0.995,0.19296,0.7612,0.67096,0.000346736,0.000346736,0.000346736
18,195.678,0.24135,0.7538,0.79357,0.99117,1,0.995,0.995,0.17536,0.73071,0.66809,0.00026422,0.00026422,0.00026422
19,206.125,0.24211,0.76425,0.76442,0.99117,1,0.995,0.995,0.17536,0.73071,0.66809,0.000181703,0.000181703,0.000181703
20,216.379,0.25869,0.79749,0.78955,0.99135,1,0.995,0.995,0.17134,0.73304,0.66523,9.91865e-05,9.91865e-05,9.91865e-05
